股票代號,股票名稱,市場別
5244,弘凱,上市
5245,智晶,上櫃
5251,天鉞電,上櫃
5258,虹堡,上市
5263,智崴,上櫃
5269,祥碩,上市
5272,笙科,上櫃
5274,信驊,上櫃
5276,達輝-KY,上櫃
5278,尚凡*,上櫃
5283,禾聯碩,上市
5284,jpp-KY,上市
5285,界霖,上市
5287,數字,上櫃
5288,豐祥-KY,上市
5289,宜鼎,上櫃
5291,邑昇,上櫃
5292,華懋,上市
5299,杰力,上櫃
5301,寶得利,上櫃
5302,太欣,上櫃
5306,桂盟,上市
5309,系統電,上櫃
5310,天剛,上櫃
5312,寶島科,上櫃
5314,世紀*,上櫃
5315,光聯,上櫃
5321,美而快,上櫃
5324,士開,上櫃
5328,華容,上櫃
5340,建榮,上櫃
5344,立衛,上櫃
5345,馥鴻,上櫃
5347,世界,上櫃
5348,正能量智能,上櫃
5351,鈺創,上櫃
5353,台林,上櫃
5355,佳總,上櫃
5356,協益,上櫃
5364,力麗店,上櫃
5371,中光電,上櫃
5381,合正,上櫃
5386,青雲,上櫃
5388,中磊,上市
5392,能率,上櫃
5398,慕康生醫,上櫃
5403,中菲,上櫃
5410,國眾,上櫃
5425,台半,上櫃
5426,振發,上櫃
5432,新門,上櫃
5434,崇越,上市
5438,東友,上櫃
5439,高技,上櫃
5443,均豪,上櫃
5450,南良,上櫃
5452,佶優,上櫃
5455,昇益,上櫃
5457,宣德,上櫃
5460,同協,上櫃
5464,霖宏,上櫃
5465,富驊,上櫃
5468,凱鈺,上櫃
5469,瀚宇博,上市
5471,松翰,上市
5474,聰泰,上櫃
5475,德宏,上櫃
5478,智冠,上櫃
5481,新華,上櫃
5483,中美晶,上櫃
5484,慧友,上市
5487,通泰,上櫃
5488,松普,上櫃
5489,彩富,上櫃
5490,同亨,上櫃
5493,三聯,上櫃
5498,凱崴,上櫃
5508,永信建,上櫃
5511,德昌,上櫃
5512,力麒,上櫃
5514,三豐,上櫃
5515,建國,上市
5516,雙喜,上櫃
5519,隆大,上市
5520,力泰,上櫃
5521,工信,上市
5522,遠雄,上市
5523,豐謙,上櫃
5525,順天,上市
5529,鉅陞,上櫃
5530,龍巖,上櫃
5531,鄉林,上市
5533,皇鼎,上市
5534,長虹,上市
5536,聖暉*,上櫃
5538,東明-KY,上市
5543,桓鼎-KY,上櫃
5546,永固-KY,上市
5548,安倉,上櫃
5601,台聯櫃,上櫃
5603,陸海,上櫃
5604,中連,上櫃
5607,遠雄港,上市
5608,四維航,上市
5609,中菲行,上櫃
5701,劍湖山,上櫃
5703,亞都,上櫃
5704,老爺知,上櫃
5706,鳳凰,上市
5864,致和證,上櫃
5871,中租-KY,上市
5871A,中租-KY甲特,上市
5876,上海商銀,上市
5878,台名,上櫃
5880,合庫金,上市
5902,德記,上櫃
5903,全家,上櫃
5904,寶雅,上櫃
5905,南仁湖,上櫃
5906,台南-KY,上市
5907,大洋-KY,上市
6005,群益證,上市
6015,宏遠證,上櫃
6016,康和證,上櫃
6020,大展證,上櫃
6021,美好證,上櫃
6023,元大期,上櫃
6024,群益期,上市
6026,福邦證,上櫃
6101,寬魚國際,上櫃
6103,合邦,上櫃
6104,創惟,上櫃
6108,競國,上市
6109,亞元,上櫃
6111,大宇資,上櫃
6112,邁達特,上市
6113,亞矽,上櫃
6114,久威,上櫃
6115,鎰勝,上市
6116,彩晶,上市
6117,迎廣,上市
6118,建達,上櫃
6120,達運,上市
6121,新普,上櫃
6122,擎邦,上櫃
6123,上奇,上櫃
6124,業強,上櫃
6125,廣運,上櫃
6126,信音,上櫃
6127,九豪,上櫃
6128,上福,上市
6129,普誠,上櫃
6130,上亞科技,上櫃
6133,金橋,上市
6134,萬旭,上櫃
6136,富爾特,上市
6138,茂達,上櫃
6139,亞翔,上市
6140,訊達,上櫃
6141,柏承,上市
6142,友勁,上市
6143,振曜,上櫃
6144,得利影,上櫃
6146,耕興,上櫃
6147,頎邦,上櫃
6148,驊宏資,上櫃
6150,撼訊,上櫃
6151,晉倫,上櫃
6152,百一,上市
6153,嘉聯益,上市
6154,順發,上櫃
6155,鈞寶,上市
6156,松上,上櫃
6158,禾昌,上櫃
6160,欣技,上櫃
6161,捷波,上櫃
6163,華電網,上櫃
6164,華興,上市
6165,浪凡,上市
6166,凌華,上市
6167,久正,上櫃
6168,宏齊,上市
6169,昱泉,上櫃
6170,統振,上櫃
6171,大城地產,上櫃
6173,信昌電,上櫃
6174,安碁,上櫃
6175,立敦,上櫃
6176,瑞儀,上市
6177,達麗,上市
6179,亞通,上櫃
6180,橘子,上櫃
6182,合晶,上櫃
6183,關貿,上市
6184,大豐電,上市
6185,幃翔,上櫃
6186,新潤,上櫃
6187,萬潤,上櫃
6188,廣明,上櫃
6189,豐藝,上市
6190,萬泰科,上櫃
6191,精成科,上市
6192,巨路,上市
6194,育富,上櫃
6195,詩肯,上櫃
6196,帆宣,上市
6197,佳必琪,上市
6198,瑞築,上櫃
6199,天品,上櫃
6201,亞弘電,上市
6202,盛群,上市
6203,海韻電,上櫃
6204,艾華,上櫃
6205,詮欣,上市
6206,飛捷,上市
6207,雷科,上櫃
6208,日揚,上櫃
6209,今國光,上市
6210,慶生,上櫃
6212,理銘,上櫃
6213,聯茂,上市
6214,精誠,上市
6215,和椿,上市
6216,居易,上市
6217,中探針,上櫃
6218,豪勉,上櫃
6219,富旺,上櫃
6220,岳豐,上櫃
6221,晉泰,上櫃
6222,立軒,上櫃
6223,旺矽,上櫃
6224,聚鼎,上市
6225,天瀚,上市
6226,光鼎,上市
6227,茂綸,上櫃
6228,全譜,上櫃
6229,研通,上櫃
6230,尼得科超眾,上市
6231,系微,上櫃
6233,旺玖,上櫃
6234,高僑,上櫃
6235,華孚,上市
6236,中湛,上櫃
6237,驊訊,上櫃
6239,力成,上市
6240,松崗,上櫃
6241,易通展,上櫃
6242,立康,上櫃
6243,迅杰,上市
6244,茂迪,上櫃
6245,立端,上櫃
6246,臺龍,上櫃
6248,沛波,上櫃
6257,矽格,上市
6259,百徽,上櫃
6261,久元,上櫃
6263,普萊德,上櫃
6264,富裔,上櫃
6265,方土昶,上櫃
6266,泰詠,上櫃
6269,台郡,上市
6270,倍微,上櫃
6271,同欣電,上市
6274,台燿,上櫃
6275,元山,上櫃
6276,安鈦克,上櫃
6277,宏正,上市
6278,台表科,上市
6279,胡連,上櫃
6281,全國電,上市
6282,康舒,上市
6283,淳安,上市
6284,佳邦,上櫃
6285,啟碁,上市
6290,良維,上櫃
6291,沛亨,上櫃
6292,迅德,上櫃
6294,智基,上櫃
6405,悅城,上市
6409,旭隼,上市
6411,晶焱,上櫃
6412,群電,上市
6414,樺漢,上市
6415,矽力*-KY,上市
6416,瑞祺電通,上市
6417,韋僑,上櫃
6418,詠昇,上櫃
6419,京晨科,上櫃
6425,易發,上櫃
6426,統新,上市
6431,光麗-KY,上市
6432,今展科,上櫃
6435,大中,上櫃
6438,迅得,上市
6441,廣錠,上櫃
6442,光聖,上市
6443,元晶,上市
6446,藥華藥,上市
6449,鈺邦,上市
6451,訊芯-KY,上市
6456,GIS-KY,上市
6461,益得,上櫃
6462,神盾,上櫃
6464,台數科,上市
6465,威潤,上櫃
6469,大樹,上櫃
6470,宇智,上櫃
6472,保瑞,上市
6474,華豫寧,上櫃
6477,安集,上市
6482,弘煜科,上櫃
6485,點序,上櫃
6486,互動,上櫃
6488,環球晶,上櫃
6491,晶碩,上市
6492,生華科,上櫃
6494,九齊,上櫃
6496,科懋,上櫃
6498,久禾光,上櫃
6499,益安,上櫃
6504,南六,上市
6505,台塑化,上市
6506,雙邦,上櫃
6508,惠光,上櫃
6509,聚和,上櫃
6510,精測,上櫃
6512,啟發電,上櫃
6515,穎崴,上市
6516,勤崴國際,上櫃
6517,保勝光學,上櫃
6523,達爾膚,上櫃
6525,捷敏-KY,上市
6526,達發,上市
6527,明達醫,上櫃
6530,創威,上櫃
6531,愛普*,上市
6532,瑞耘,上櫃
6533,晶心科,上市
6535,順藥,上櫃
6538,倉和,上櫃
6541,泰福-KY,上市
6542,隆中,上櫃
6546,正基,上櫃
6547,高端疫苗,上櫃
6548,長科*,上櫃
6550,北極星藥業-KY,上市
6552,易華電,上市
6556,勝品,上櫃
6558,興能高,上市
6560,欣普羅,上櫃
6561,是方,上櫃
6568,宏觀,上櫃
6569,醫揚,上櫃
6570,維田,上櫃
6573,虹揚-KY,上市
6574,霈方,上櫃
6576,逸達,上櫃
6577,勁豐,上櫃
6578,達邦蛋白,上櫃
6579,研揚,上市
6581,鋼聯,上市
6582,申豐,上市
6584,南俊國際,上櫃
6585,鼎基,上市
6588,東典光電,上櫃
6589,台康生技,上市
6590,普鴻,上櫃
6591,動力-KY,上市
6592,和潤企業,上市
6592A,和潤企業甲特,上市
6592B,和潤企業乙特,上市
6593,台灣銘板,上櫃
6596,寬宏藝術,上櫃
6597,立誠,上櫃
6598,ABC-KY,上市
6603,富強鑫,上櫃
6605,帝寶,上市
6606,建德工業,上市
6609,瀧澤科,上櫃
6612,奈米醫材,上櫃
6613,朋億*,上櫃
6614,資拓宏宇,上市
6615,慧智,上櫃
6616,特昇-KY,上櫃
6617,共信-KY,上櫃
6624,萬年清,上櫃
6625,必應,上市
6629,泰金-KY,上櫃
6637,醫影,上櫃
6640,均華,上櫃
6641,基士德-KY,上市
6642,富致,上櫃
6643,M31,上櫃
6649,台生材,上櫃
6651,全宇昕,上櫃
6654,天正國際,上櫃
6655,科定,上市
6657,華安,上市
6658,聯策,上市
6661,威健生技,上櫃
6662,樂斯科,上櫃
6664,群翊,上櫃
6666,羅麗芬-KY,上市
6667,信紘科,上櫃
6668,中揚光,上市
6669,緯穎,上市
6670,復盛應用,上市
6671,三能-KY,上市
6672,騰輝電子-KY,上市
6674,鋐寶科技,上市
6679,鈺太,上櫃
6680,鑫創電子,上櫃
6683,雍智科技,上櫃
6684,安格,上櫃
6689,伊雲谷,上市
6690,安碁資訊,上櫃
6691,洋基工程,上市
6692,進能服,上櫃
6693,廣閎科,上櫃
6695,芯鼎,上市
6697,東捷資訊,上櫃
6698,旭暉應材,上市
6703,軒郁,上櫃
6706,惠特,上市
6708,天擎,上櫃
6712,長聖,上櫃
6715,嘉基,上市
6716,應廣,上櫃
6719,力智,上市
6720,久昌,上櫃
6721,信實,上櫃
6727,亞泰金屬,上櫃
6728,上洋,上櫃
6730,常廣,上櫃
6732,昇佳電子,上櫃
6733,博晟生醫,上櫃
6735,美達科技,上櫃
6739,竹陞科技,上櫃
6741,91APP*-KY,上櫃
6742,澤米,上市
6743,安普新,上市
6751,智聯服務,上櫃
6752,叡揚,上櫃
6753,龍德造船,上市
6754,匯僑設計,上市
6756,威鋒電子,上市
6757,台灣虎航,上市
6761,穩得,上櫃
6762,達亞,上櫃
6763,綠界科技*,上櫃
6767,台微醫,上櫃
6768,志強-KY,上市
6770,力積電,上市
6776,展碁國際,上市
6781,AES-KY,上市
6782,視陽,上市
6785,昱展新藥,上櫃
6788,華景電,上櫃
6789,采鈺,上市
6790,永豐實,上市
6791,虎門科技,上櫃
6792,詠業,上市
6794,向榮生技,上市
6796,晉弘,上市
6799,來頡,上市
6803,崑鼎,上櫃
6804,明係,上櫃
6805,富世達,上市
6806,森崴能源,上市
6807,峰源-KY,上市
6811,宏碁資訊,上櫃
6821,聯寶,上櫃
6823,濾能,上櫃
6829,千附精密,上櫃
6830,汎銓,上市
6831,邁科,上市
6834,天二科技,上市
6835,圓裕,上市
6838,台新藥,上市
6840,東研信超,上櫃
6841,長佳智能,上櫃
6843,進典,上櫃
6844,諾貝兒,上櫃
6846,綠茵,上櫃
6855,數泓科,上櫃
6856,鑫傳,上櫃
6859,伯特光,上櫃
6861,睿生光電,上市
6862,三集瑞-KY,上市
6863,永道-KY,上市
6865,偉康科技,上櫃
6869,雲豹能源,上市
6870,騰雲,上櫃
6872,浩宇生醫,上櫃
6873,泓德能源,上市
6874,倍力,上櫃
6875,國邑*,上櫃
6877,鏵友益,上櫃
6881,潤德,上櫃
6885,全福生技,上市
6887,寶綠特-KY,上市
6890,來億-KY,上市
6894,衛司特,上櫃
6895,宏碩系統,上櫃
6899,創為精密,上櫃
6901,鑽石投資,上市
6902,GOGOLOOK,上市
6903,巨漢,上櫃
6904,伯鑫,上櫃
6906,現觀科,上市
6909,創控,上市
6910,德鴻,上櫃
6913,鴻呈,上櫃
6914,阜爾運通,上市
6916,華凌,上市
6918,愛派司,上市
6919,康霈*,上市
6922,宸曜,上櫃
6923,中台,上市
6925,意藍,上櫃
6928,攸泰科技,上市
6929,佑全,上櫃
6931,青松健康,上市
6933,AMAX-KY,上市
6936,永鴻生技,上市
6937,天虹,上市
6944,兆聯實業,上市
6952,大武山,上市
6953,家碩,上櫃
6957,裕慶-KY,上市
6958,日盛台駿,上市
6962,奕力-KY,上市
6965,中傑-KY,上市
6967,汎瑋材料,上櫃
6968,萬達寵物,上櫃
6971,惠民實業,上櫃
6982,大井泵浦,上櫃
6994,富威電力,上市
6996,力領科技,上櫃
6997,博弘,上櫃
7402,邑錡,上櫃
7547,碩網,上櫃
7556,意德士,上櫃
7584,樂意,上櫃
7642,昶瑞機電,上櫃
7703,銳澤,上櫃
7704,明遠精密,上櫃
7705,三商餐飲,上市
7708,全家餐飲,上櫃
7709,榮田,上櫃
7711,永擎,上市
7712,博盛半導體,上櫃
7713,威力德生醫,上櫃
7714,創泓科技,上櫃
7715,裕山,上櫃
7716,昱臺國際,上櫃
7717,萊德光電-KY,上櫃
7718,友鋮,上櫃
7721,微程式,上市
7722,LINEPAY,上市
7723,築間,上櫃
7728,光焱科技,上櫃
7732,金興精密,上市
7734,印能科技,上櫃
7736,虎山,上市
7738,東聯互動,上櫃
7743,金利食安,上櫃
7744,崴寶,上櫃
7747,昕奇雲端,上櫃
7749,意騰-KY,上市
7750,新代,上市
7751,竑騰,上櫃
7753,星亞,上櫃
7757,金色三麥,上櫃
7765,中華資安,上市
7767,仁大資訊,上櫃
7769,鴻勁,上市
7770,君曜,上櫃
7780,大研生醫,上市
7782,光速火箭,上櫃
7786,東方風能,上市
7788,松川精密,上市
7791,皇家可口,上市
7799,禾榮科,上市
8011,台通,上市
8016,矽創,上市
8021,尖點,上市
8024,佑華,上櫃
8027,鈦昇,上櫃
8028,昇陽半導體,上市
8032,光菱,上櫃
8033,雷虎,上市
8034,榮群,上櫃
8038,長園科,上櫃
8039,台虹,上市
8040,九暘,上櫃
8042,金山電,上櫃
8043,蜜望實,上櫃
8044,網家,上櫃
8045,達運光電,上市
8046,南電,上市
8047,星雲,上櫃
8048,德勝,上櫃
8049,晶采,上櫃
8050,廣積,上櫃
8054,安國,上櫃
8059,凱碩,上櫃
8064,東捷,上櫃
8066,來思達,上櫃
8067,志旭,上櫃
8068,全達,上櫃
8069,元太,上櫃
8070,長華*,上市
8071,能率網通,上櫃
8072,陞泰,上市
8074,鉅橡,上櫃
8076,伍豐,上櫃
8077,洛碁,上櫃
8080,泰霖,上櫃
8081,致新,上市
8083,瑞穎,上櫃
8084,巨虹,上櫃
8085,福華,上櫃
8086,宏捷科,上櫃
8087,麗升能源,上櫃
8088,品安,上櫃
8089,康全電訊,上櫃
8091,翔名,上櫃
8092,建暐,上櫃
8093,保銳,上櫃
8096,擎亞,上櫃
8097,常珵,上櫃
8099,大世科,上櫃
8101,華冠,上市
8103,瀚荃,上市
8104,錸寶,上市
8105,凌巨,上市
8107,大億金茂,上櫃
8109,博大,上櫃
8110,華東,上市
8111,立碁,上櫃
8112,至上,上市
8112A,至上甲特,上市
8114,振樺電,上市
8121,越峰,上櫃
8131,福懋科,上市
8147,正淩,上櫃
8150,南茂,上市
8155,博智,上櫃
8163,達方,上市
8171,天宇,上櫃
8176,智捷,上櫃
8182,加高,上櫃
8183,精星,上櫃
8201,無敵,上市
8210,勤誠,上市
8213,志超,上市
8215,明基材,上市
8222,寶一,上市
8227,巨有科技,上櫃
8234,新漢,上櫃
8240,華宏,上櫃
8249,菱光,上市
8255,朋程,上櫃
8261,富鼎,上市
8271,宇瞻,上市
8272,全景軟體,上櫃
8277,商丞,上櫃
8279,生展,上櫃
8284,三竹,上櫃
8289,泰藝,上櫃
8291,尚茂,上櫃
8299,群聯,上櫃
8341,日友,上市
8342,益張,上櫃
8349,恒耀,上櫃
8349A,恒耀甲特,上櫃
8354,冠好,上櫃
8358,金居,上櫃
8367,建新國際,上市
8374,羅昇,上市
8383,千附,上櫃
8390,金益鼎,上櫃
8401,白紗科,上櫃
8403,盛弘,上櫃
8404,百和興業-KY,上市
8409,商之器,上櫃
8410,森田,上櫃
8411,福貞-KY,上市
8415,大國鋼,上櫃
8416,實威,上櫃
8421,旭源,上櫃
8422,可寧衛*,上市
8423,保綠-KY,上櫃
8424,惠普,上櫃
8426,紅木-KY,上櫃
8429,金麗-KY,上市
8431,匯鑽科,上櫃
8432,東生華,上櫃
8433,弘帆,上櫃
8435,鉅邁,上櫃
8436,大江,上櫃
8437,大地-KY,上櫃
8438,昶昕,上市
8440,綠電,上櫃
8442,威宏-KY,上市
8443,阿瘦,上市
8444,綠河-KY,上櫃
8446,華研,上櫃
8450,霹靂,上櫃
8454,富邦媒,上市
8455,大拓-KY,上櫃
8462,柏文,上市
8463,潤泰材,上市
8464,億豐,上市
8466,美吉吉-KY,上市
8467,波力-KY,上市
8472,夠麻吉,上櫃
8473,山林水,上市
8476,台境*,上市
8477,創業家,上櫃
8478,東哥遊艇,上市
8481,政伸,上市
8482,商億-KY,上市
8488,吉源-KY,上市
8489,三貝德,上櫃
8499,鼎炫-KY,上市
8905,裕國,上櫃
8906,花王,上櫃
8908,欣雄,上櫃
8916,光隆,上櫃
8917,欣泰,上櫃
8921,沈氏,上櫃
8923,時報,上櫃
8924,大田,上櫃
8926,台汽電,上市
8927,北基,上櫃
8928,鉅明,上櫃
8929,富堡,上櫃
8930,青鋼,上櫃
8931,大汽電,上櫃
8932,智通*,上櫃
8933,愛地雅,上櫃
8935,邦泰,上櫃
8936,國統,上櫃
8937,合騏,上櫃
8938,明安,上櫃
8940,新天地,上市
8941,關中,上櫃
8942,森鉅,上櫃
8996,高力,上市
9103,美德醫療-DR,上市
910322,康師傅-DR,上市
9105,泰金寶-DR,上市
910861,神州-DR,上市
9110,越南控-DR,上市
911608,明輝-DR,上市
911622,泰聚亨-DR,上市
911868,同方友友-DR,上市
912000,晨訊科-DR,上市
9136,巨騰-DR,上市
9802,鈺齊-KY,上市
9902,台火,上市
9904,寶成,上市
9905,大華,上市
9906,欣巴巴,上市
9907,統一實,上市
9908,大台北,上市
9910,豐泰,上市
9911,櫻花,上市
9912,偉聯,上市
9914,美利達,上市
9917,中保科,上市
9918,欣天然,上市
9919,康那香,上市
9921,巨大,上市
9924,福興,上市
9925,新保,上市
9926,新海,上市
9927,泰銘,上市
9928,中視,上市
9929,秋雨,上市
9930,中聯資源,上市
9931,欣高,上市
9933,中鼎,上市
9934,成霖,上市
9935,慶豐富,上市
9937,全國,上市
9938,百和,上市
9939,宏全,上市
9940,信義,上市
9941,裕融,上市
9941A,裕融甲特,上市
9942,茂順,上市
9943,好樂迪,上市
9944,新麗,上市
9945,潤泰新,上市
9946,三發地產,上市
9949,琉園,上櫃
9950,萬國通,上櫃
9951,皇田,上櫃
9955,佳龍,上市
9958,世紀鋼,上市
9960,邁達康,上櫃
9962,有益,上櫃